Eliminated Week,League,Team,Owner,Score,Cumulative Score at Elimination
14,L4 Sack Based 4,The Lib Owners,nak97,149.06,2495.85
14,L3 The Only Legitimate LTS Bowl League,TurdFergusonFF,TurdFergusonFF,118.9,2492.01
15,L5 2024 TES Memorial Bidet Bowel,Corny Team Name,JHizzy90,195.15,2813.66
15,L4 Sack Based 4,Poop on the Cob,Joker1b,151.64,2840.15
16,L1 Mo Alie-Cox Cup Memorial League,C.D. Odor Eaters,skiballs68,190.83,2865.09
16,L3 The Only Legitimate LTS Bowl League,The Enemy Speaks Kindly,Deredactyl,200.09,2846.52
17,L4 Sack Based 4,jonsey456,jonsey456,230.43,3403.21
