Week,Category,League,Awardee,Opponent,Awardee Score,Opponent Score,Difference
3,Lowest Score,League 2,Hero Arby’s ,Gluten Soy Dairy Free,0,0,0
3,Lowest Score,League 3,39ers,The Enemy Speaks Kindly,0,0,0
3,Lowest Score,League 3,The Enemy Speaks Kindly,39ers,0,0,0
3,Lowest Score,League 3,TurdFergusonFF,fantasyscott,0,0,0
3,Lowest Score,League 3,The Woke FAAB,kfisch55,0,0,0
3,Lowest Score,League 3,SycamoreFlynns,WilhelmTilt,0,0,0
3,Lowest Score,League 3,Illegal Formation,johnnysmomskid,0,0,0
3,Lowest Score,League 3,fantasyscott,TurdFergusonFF,0,0,0
3,Lowest Score,League 3,johnnysmomskid,Illegal Formation,0,0,0
3,Lowest Score,League 3,kfisch55,The Woke FAAB,0,0,0
3,Lowest Score,League 3,Not Great Bob,Admiral Snackbar,0,0,0
3,Lowest Score,League 3,Admiral Snackbar,Not Great Bob,0,0,0
3,Lowest Score,League 3,WilhelmTilt,SycamoreFlynns,0,0,0
3,Lowest Score,League 4,On Stroud 9,O'Shaughnessy's Pub,0,0,0
3,Lowest Score,League 4,Deep Dish Keenan [Matt W],The Poop Monsters [K.C.],0,0,0
3,Lowest Score,League 4,The Lib Owners,Poop on the Cob,0,0,0
3,Lowest Score,League 4,Poop on the Cob,The Lib Owners,0,0,0
3,Lowest Score,League 4,Closet Poopers,DiegoFLopez,0,0,0
3,Lowest Score,League 4,Foxy stoats,2.5 Seltzers,0,0,0
3,Lowest Score,League 4,outshine13,jonsey456,0,0,0
3,Lowest Score,League 4,2.5 Seltzers,Foxy stoats,0,0,0
3,Lowest Score,League 4,O'Shaughnessy's Pub,On Stroud 9,0,0,0
3,Lowest Score,League 4,jonsey456,outshine13,0,0,0
3,Lowest Score,League 4,DiegoFLopez,Closet Poopers,0,0,0
3,Lowest Score,League 4,The Poop Monsters [K.C.],Deep Dish Keenan [Matt W],0,0,0
3,Lowest Score,Leaghe 5,Sorry to the Kids,Perpetual Tilt Montage,0,0,0
3,Lowest Score,Leaghe 5,The Glorious Process,Weinerlicious,0,0,0
3,Lowest Score,Leaghe 5,Perpetual Tilt Montage,Sorry to the Kids,0,0,0
3,Lowest Score,Leaghe 5,Sorry to the kids,My mom's basement ,0,0,0
